Region name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;;
Cortex;35267471;35267471.008530;pixels;19;337500;337500;pixels;0.009570;;;;;;;;;;;;;;;
Fibretracts;1319891;1319891.274933;pixels;1;90000;90000;pixels;0.068187;;;;;;;;;;;;;;;
Hippo;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Olfactory;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Hypothalamus;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Striatum_Pallidum_BasalForebrain;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Amygdala;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Mid_Hind_Medulla;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Thalamus;185916;185916.482864;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
Cerebellum;2493033;2493032.922150;pixels;2;340000;340000;pixels;0.136380;;;;;;;;;;;;;;;
VentricularSystem;75839;75839.271317;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
SpinalCord;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
InnerEar;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;;
