name	colour
root	0;0;0
Isocortex	143;0;142
Olfactory areas	101;45;66
Hippocampal formation	129;47;180
Dentate gyrus, molecular layer	129;47;180
Dentate gyrus, polymorph layer	129;47;180
Dentate gyrus, granule cell layer	153;87;194
Fasciola cinerea	129;47;180
Induseum griseum	129;47;180
Parasubiculum	141;42;150
Postsubiculum	183;55;195
Presubiculum	166;70;184
Subiculum	176;61;187
Cortical subplate	117;37;120
Claustrum	117;37;120
Lateral amygdalar nucleus	111;20;114
Basomedial amygdalar nucleus	123;21;126
Posterior amygdalar nucleus	104;19;108
Striatum	103;41;6
Caudoputamen	103;41;6
Nucleus accumbens	127;50;7
Fundus of striatum	127;50;7
Olfactory tubercle	127;50;7
Striatum-like amygdalar nuclei	127;63;29
Pallidum	122;102;51
Thalamus	0;143;127
Subparafascicular area	0;127;123
Peripeduncular nucleus	0;127;123
Reticular nucleus of the thalamus	0;111;96
Hypothalamus	25;187;199
Midbrain	0;155;0
Pons	0;100;119
Medulla	0;100;50
Cerebellum	15;15;127
fiber tracts	51;51;51
ventricular systems	85;85;85
