Custom brain region	root	Isocortex	Olfactory areas	Hippocampal formation	Dentate gyrus, molecular layer	Dentate gyrus, polymorph layer	Dentate gyrus, granule cell layer	Fasciola cinerea	Induseum griseum	Parasubiculum	Postsubiculum	Presubiculum	Subiculum	Cortical subplate	Claustrum	Lateral amygdalar nucleus	Basomedial amygdalar nucleus	Posterior amygdalar nucleus	Striatum	Caudoputamen	Nucleus accumbens	Fundus of striatum	Olfactory tubercle	Striatum-like amygdalar nuclei	Pallidum	Thalamus	Subparafascicular area	Peripeduncular nucleus	Reticular nucleus of the thalamus	Hypothalamus	Midbrain	Pons	Medulla	Cerebellum	fiber tracts	ventricular systems
RGB colour	0;0;0	143;0;142	101;45;66	129;47;180	129;47;180	129;47;180	153;87;194	129;47;180	129;47;180	141;42;150	183;55;195	166;70;184	176;61;187	117;37;120	117;37;120	111;20;114	123;21;126	104;19;108	103;41;6	103;41;6	127;50;7	127;50;7	127;50;7	127;63;29	122;102;51	0;143;127	0;127;123	0;127;123	0;111;96	25;187;199	0;155;0	0;100;119	0;100;50	15;15;127	51;51;51	85;85;85
Atlas Ids	997	315	698	1089	10703	10704	632	982	19	843	1037	1084	502	703	583	131	319	780	477	672	56	998	754	278	803	549	609	1044	262	1097	313	771	354	512	1009	73
		184	507																					23	818					157					967	81
		68	151																					292	1022					390					949	129
		667	188																					536	1031					332					840	140
		500	196																					1105	835					38					1016	145
		985	204																					403	342					30					21	153
		320	159																						298					118					665	164
		943	589																						826					223					900	
		648	814																						904					141					848	
		844	961																						564					72					117	
		882	619																						596					263					125	
		993	260																						581					272					832	
		656	1139																						809					830					62	
		962	631																						351					452					158	
		767	639																						287					523					911	
		1021	647																											763					901	
		1085	788																											914					93	
		453	566																											1109					229	
		322																												126					705	
		353																												133					794	
		558																												347					798	
		838																												286					933	
		654																												338					413	
		702																												689					948	
		889																												467					841	
		929																												88					658	
		329																												331					633	
		981																												210					482	
		201																												491					917	
		1047																												525					237	
		1070																												557					792	
		1038																												1126					932	
		1062																												1					514	
		337																												515					380	
		1030																												980					388	
		113																												1004					697	
		1094																												63					960	
		1128																												693					752	
		478																												946					326	
		510																												290					78	
		345																												194					1123	
		878																												226					728	
		657																												356					983	
		950																												364					776	
		974																												173					784	
		1102																												470					6	
		2																												614					924	
		369																												797					190	
		450																												804					896	
		854																																	1092	
		577																																	14	
		625																																	1000	
		945																																	877	
		1026																																	1060	
		361																																	863	
		1006																																	397	
		670																																	991	
		1086																																	768	
		1111																																	884	
		9																																	908	
		461																																	940	
		182305689																																	1099	
		182305693																																	466	
		182305697																																	530	
		182305701																																	603	
		182305705																																	737	
		182305709																																	436	
		182305713																																	618	
		378																																	443	
		873																																	449	
		806																																	301	
		1035																																	824	
		1090																																	341	
		862																																	46	
		893																																	753	
		1057																																	690	
		36																																	681	
		180																																	673	
		148																																	1083	
		187																																	802	
		638																																	595	
		662																																	611	
		677																																		
		897																																		
		1106																																		
		1010																																		
		1058																																		
		857																																		
		849																																		
		247																																		
		1011																																		
		527																																		
		600																																		
		678																																		
		252																																		
		156																																		
		243																																		
		1002																																		
		735																																		
		251																																		
		816																																		
		847																																		
		954																																		
		1005																																		
		1027																																		
		696																																		
		643																																		
		759																																		
		791																																		
		249																																		
		456																																		
		1018																																		
		959																																		
		755																																		
		990																																		
		1023																																		
		520																																		
		598																																		
		669																																		
		402																																		
		1074																																		
		905																																		
		1114																																		
		233																																		
		601																																		
		649																																		
		394																																		
		281																																		
		1066																																		
		401																																		
		433																																		
		1046																																		
		441																																		
		409																																		
		421																																		
		973																																		
		573																																		
		613																																		
		74																																		
		121																																		
		385																																		
		593																																		
		821																																		
		721																																		
		778																																		
		33																																		
		305																																		
		425																																		
		750																																		
		269																																		
		869																																		
		902																																		
		377																																		
		393																																		
		533																																		
		805																																		
		41																																		
		501																																		
		565																																		
		257																																		
		469																																		
		312782574																																		
		312782578																																		
		312782582																																		
		312782586																																		
		312782590																																		
		312782594																																		
		312782598																																		
		312782628																																		
		312782632																																		
		312782636																																		
		312782640																																		
		312782644																																		
		312782648																																		
		312782652																																		
		31																																		
		39																																		
		935																																		
		211																																		
		1015																																		
		919																																		
		927																																		
		48																																		
		588																																		
		296																																		
		772																																		
		810																																		
		819																																		
		972																																		
		171																																		
		304																																		
		363																																		
		84																																		
		132																																		
		44																																		
		707																																		
		556																																		
		827																																		
		1054																																		
		1081																																		
		714																																		
		723																																		
		448																																		
		412																																		
		630																																		
		440																																		
		488																																		
		731																																		
		484																																		
		582																																		
		620																																		
		910																																		
		746																																		
		969																																		
		288																																		
		1125																																		
		608																																		
		680																																		
		95																																		
		104																																		
		996																																		
		328																																		
		1101																																		
		783																																		
		831																																		
		111																																		
		120																																		
		163																																		
		344																																		
		314																																		
		119																																		
		704																																		
		694																																		
		800																																		
		675																																		
		699																																		
		254																																		
		894																																		
		671																																		
		965																																		
		774																																		
		906																																		
		279																																		
		879																																		
		442																																		
		434																																		
		545																																		
		610																																		
		274																																		
		330																																		
		886																																		
		542																																		
		430																																		
		687																																		
		590																																		
		622																																		
		22																																		
		312782546																																		
		312782550																																		
		312782554																																		
		312782558																																		
		312782562																																		
		312782566																																		
		312782570																																		
		417																																		
		312782604																																		
		312782608																																		
		312782612																																		
		312782616																																		
		312782620																																		
		312782624																																		
		541																																		
		97																																		
		1127																																		
		234																																		
		289																																		
		729																																		
		786																																		
		922																																		
		540																																		
		888																																		
		692																																		
		335																																		
		368																																		
		895																																		
		836																																		
		427																																		
		988																																		
		977																																		
		1045																																		
